date, Population, Population_Annual_Change
1950-12-31,158804395,0
1951-12-31,160872266,1.3
1952-12-31,163266028,1.49
1953-12-31,165910003,1.62
1954-12-31,168736387,1.7
1955-12-31,171685336,1.75
1956-12-31,174705003,1.76
1957-12-31,177751483,1.74
1958-12-31,180788392,1.71
1959-12-31,183786252,1.66
1960-12-31,186720571,1.6
1961-12-31,189569843,1.53
1962-12-31,192313746,1.45
1963-12-31,194932403,1.36
1964-12-31,197408505,1.27
1965-12-31,199733676,1.18
1966-12-31,201895760,1.08
1967-12-31,203905080,1
1968-12-31,205805754,0.93
1969-12-31,207659263,0.9
1970-12-31,209513341,0.89
1971-12-31,211384068,0.89
1972-12-31,213269802,0.89
1973-12-31,215178797,0.9
1974-12-31,217114909,0.9
1975-12-31,219081251,0.91
1976-12-31,221086429,0.92
1977-12-31,223135663,0.93
1978-12-31,225223303,0.94
1979-12-31,227339318,0.94
1980-12-31,229476354,0.94
1981-12-31,231636058,0.94
1982-12-31,233821844,0.94
1983-12-31,236030238,0.94
1984-12-31,238256844,0.94
1985-12-31,240499825,0.94
1986-12-31,242763148,0.94
1987-12-31,245052789,0.94
1988-12-31,247372264,0.95
1989-12-31,249725805,0.95
1990-12-31,252120309,0.96
1991-12-31,254539370,0.96
1992-12-31,256990613,0.96
1993-12-31,259532129,0.99
1994-12-31,262241196,1.04
1995-12-31,265163745,1.11
1996-12-31,268335003,1.2
1997-12-31,271713635,1.26
1998-12-31,275175301,1.27
1999-12-31,278548150,1.23
2000-12-31,281710909,1.14
2001-12-31,284607993,1.03
2002-12-31,287279318,0.94
2003-12-31,289815562,0.88
2004-12-31,292354658,0.88
2005-12-31,294993511,0.9
2006-12-31,297758969,0.94
2007-12-31,300608429,0.96
2008-12-31,303486012,0.96
2009-12-31,306307567,0.93
2010-12-31,309011475,0.88
2011-12-31,311584047,0.83
2012-12-31,314043885,0.79
2013-12-31,316400538,0.75
2014-12-31,318673411,0.72
2015-12-31,320878310,0.69
2016-12-31,323015995,0.67
2017-12-31,325084756,0.64
2018-12-31,327096265,0.62
2019-12-31,329064917,0.6
2020-12-31,331002651,0.59